EMPRESA,ANO,INFERÊNCIA (A),INFERÊNCIA (B),VALOR,MÉTRICA,FONTE
Sophos,2021,ransomware,setor de comércio,147811,dólar,The State of Ransomware in Retail 2021
Sophos,2021,ciberataque,-,4450000,dólar por ataque,The State of Ransomware in Retail 2021
IBM,2023,ransomware,-,5130000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,dados criptografados,-,4540000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Brasil,1220000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Estados Unidos,9480000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Oriente Médio,8070000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Canadá,5130000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Alemanha,4670000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Japão,4520000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Reino Unido,4210000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,França,4080000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Itália,3860000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,América Latina,3690000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Coréia do Sul,3480000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,África do Sul,2790000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Austrália,2700000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,Índia,2180000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Brasil,1380000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Estados Unidos,9440000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Oriente Médio,7460000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Canadá,5640000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Alemanha,4850000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Japão,4570000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Reino Unido,5050000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,França,4340000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Itália,3740000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,América Latina,2800000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Coréia do Sul,3570000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,África do Sul,3360000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Austrália,2920000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,Índia,2320000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,-,4450000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,-,4350000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2021,vazamento de dados,-,4240000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2020,vazamento de dados,-,3860000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2019,vazamento de dados,-,3920000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2018,vazamento de dados,-,3860000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2017,vazamento de dados,-,3620000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,setor de saúde,10930000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,-,4125000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,-,4100000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2021,vazamento de dados,-,4025000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2020,vazamento de dados,-,3650000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2019,vazamento de dados,-,3750000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2018,vazamento de dados,-,3700000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2017,vazamento de dados,-,3525000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,setor de saúde,10930000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,setor de comércio,2960000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2023,vazamento de dados,setor financeiro,5900000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,setor de saúde,10100000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,setor de comércio,3280000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,setor financeiro,5970000,dólar por ataque,Cost of a Data Breach Report 2023
IBM,2022,vazamento de dados,-,3860000,dólar por ataque,IBM X-Force Threat Intelligence Index 2022
Cybereason,2023,dados criptografados,-,4400000,dólar por ataque,Cybereason 2023 Breach Report
Gartner,2022,perda de desempenho,-,12750,dólar por ataque,Gartner 2022 IT Cost of Downtime Study
Gartner,2022,indisponibilidade do sistema,-,5762,dólar por hora,Gartner 2022 IT Cost of Downtime Study
Cybersecurity Ventures,2023,perda financeira,-,6600000,dólar por ano,Cybercrime Magazine 2023
FBI,2023,perda financeira,phishing,17000000,dólar por ano,FBI Internet Crime Complaint Center (IC3) 2023
Verizon,2023,perda de credenciais,phishing,117,dólar por credencial,Verizon Data Breach Investigations DBIR 2023
AAG,2023,whaling,phishing,47000000,dólar por ataque,The Latest 2024 Phishing Statistics (updated May 2024)
HoxHunt,2023,dados criptografados,-,5130000,dólar por ataque,What are the top 10 costs of phishing?
IBM,2023,vazamento de dados,phishing,4760000,dólar por ataque,Cost of a Data Breach Report 2023
Security Magazine,2023,indisponibilidade do sistema,-,6130,dólar por minuto,Downtime cost of an application DDoS attack averages $6130 per minute
Imperva,2023,indisponibilidade do sistema,DDoS,500000,dólar por ataque,What DDoS Attacks Really Cost Your Business
Zayo,2023,indisponibilidade do sistema,DDoS,68,minutos por ataque,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Zayo,2023,indisponibilidade do sistema,DDoS,408000,dólar por ataque,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Ponemon,2023,roubo de credenciais,-,679621,dólar por ataque,Cost of Insider Risks: Global Report 2023
Sonicwall,2022,dados criptografados,-,693300000,ataques,2023 SonicWall Cyber Threat Report
Sonicwall,2022,malware,-,5500000000,ataques,2023 SonicWall Cyber Threat Report
IBM,2021,vazamento de dados,pequenas e médias empresas,420000,dólar,Cost of a Data Breach Report 2023
NETSCOUT,2023,DDoS,-,13142840,ataques,NETSCOUT DDoS THREAT INTELLIGENCE REPORT
SlashNext,2023,custo,dados criptografados,4500000,dólar,The State of Phishing 2023
Ponemon,2021,custo,malware & phishing,353582,dólar,The 2021 Cost of Phishing Study
Ponemon,2021,perda de desempenho,phishing,92413,dólar por ataque,The 2021 Cost of Phishing Study
Ponemon,2021,roubo de credenciais,phishing,692531,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2015,perda de desempenho,phishing,51429,dólar por ataque,The 2021 Cost of Phishing Study
Ponemon,2015,roubo de credenciais,phishing,381920,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2021,malware,phishing,338098,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2021,phishing,-,14800000,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2021,malware,phishing,807506,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2021,roubo de credenciais,phishing,5,ataques por ano,The 2021 Cost of Phishing Study
Ponemon,2021,dados criptografados,-,5660000,dólar por ataque,The 2021 Cost of Phishing Study
Ponemon,2015,phishing,-,3800000,dólar por ano,The 2021 Cost of Phishing Study
Ponemon,2021,perda de desempenho,malware,61647,dólar por ataque,The 2021 Cost of Phishing Study
Ponemon,2021,dados criptografados,-,790000,dólar por ano,
Ponemon,2023,ciberataque,-,4991500,dólar,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2023,disrupção de serviços,setor de saúde,1297790,dólar,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2023,perda de desempenho,setor de saúde,32801,dólar por ataque,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2022,disrupção de serviços,setor de saúde,1018670,dólar,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Ponemon,2022,perda de desempenho,setor de saúde,31636,dólar por ataque,Cyber Insecurity in Healthcare: The Cost and Impact on Patient Safety and Care 2023
Cybereason,2024,dados criptografados,Estados Unidos,1400000,dólar,Ransomware: The True Cost to Business 2024
Cybereason,2024,dados criptografados,Reino Unido,423000,dólar,Ransomware: The True Cost to Business 2024
Cybereason,2024,dados criptografados,Alemanha,762000,dólar,Ransomware: The True Cost to Business 2024
Cybereason,2024,dados criptografados,França,1000000,dólar,Ransomware: The True Cost to Business 2024
Sophos,2024,dados criptografados,-,2073000,dólar,The State of Ransomware 2024
Sophos,2023,dados criptografados,-,1082000,dólar,The State of Ransomware 2024
Sophos,2022,dados criptografados,-,1400000,dólar,The State of Ransomware 2024
Sophos,2021,dados criptografados,-,1850000,dólar,The State of Ransomware 2024
Osterman Research,2022,phishing,-,45726,dólar,The Business Cost of Phishing
Symantec,2020,dados criptografados,-,260000,dólar,Targeted Ransomware
TrendMicro,2019,dados criptografados,-,61132338,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2020,dados criptografados,-,41271208,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2021,dados criptografados,-,14066778,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2022,dados criptografados,-,14983271,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,dados criptografados,-,14169866,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor financeiro,dados criptografados,20300,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor de comércio,ransomware,6300,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor de saúde,malware & Estados Unidos,45030,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,setor financeiro,malware & Brasil,8051,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,Estados Unidos,malware,993996354,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
TrendMicro,2023,Brasil,malware,256383037,ataques por ano,Calibration Expansion: 2023 Annual Cybersecurity Report
APWG,2023,phishing,-,4987809,ataques por ano,"Phishing Activity Trends Report, 4th Quarter 2023"
Arelion,2022,DDoS,-,11,média duração em minutos,DDoS Threat Landscape Report 2023
Sonicwall,2023,malware,-,6060000000,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,NA,malware,2747184428,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,Europa,malware,1459991177,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,LATAM,malware,366328290,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,APAC,malware,825782692,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,NA,malware,3170719591,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,Europa,malware,1437227130,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,LATAM,malware,475173006,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,APAC,malware,813156625,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2019,ransomware,-,187909053,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2020,ransomware,-,304638987,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2021,ransomware,-,623254877,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2022,ransomware,-,493327151,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Sonicwall,2023,ransomware,-,317593178,ataques por ano,Acronis Mid-Year Cyberthreats Report 2023
Zayo,2023,DDoS,-,6000,dólar por minuto,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Zayo,2023,DDoS,-,4,ataques por semana,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Zayo,2023,DDoS,-,200000,dólar por ataque,Protecting Your Business From Cyber Attacks: The State of DDoS Attacks
Osterman Research,2022,phishing,-,28,média duração em minutos,The Business Cost of Phishing
Osterman Research,2022,phishing,-,31,dólar por mensagem,The Business Cost of Phishing
NexusGuard,2023,DDoS,-,1,tamanho do ataque em Gbps,