INFERÊNCIA (A),INFERÊNCIA (B),VALOR,MÉTRICA,ANO,EMPRESA,FONTE
custo,ransomware,"$170,404",dólar,2021,Sophos,The State of Ransomware in Retail 2021 - Sophos
custo,ransomware | setor de comércio,"$147,811",dólar,2021,Sophos,The State of Ransomware in Retail 2021 - Sophos
custo,brecha,$4.45M,dólar,2021,Sophos,The State of Ransomware in Retail 2021 - Sophos
custo | brecha,Brasil,$1.22M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Estados Unidos,$9.48M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Oriente Médio,$8.07M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Canadá,$5.13M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Alemanha,$4.67M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Japão,$4.52M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Reino Unido,$4.21M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,França,$4.08M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Itália,$3.86M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,América Latina,$3.69M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Coréia do Sul,$3.48M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,África do Sul,$2.79M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Austrália,$2.70M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
custo | brecha,Índia,$2.18M,dólar,2023,IBM,Cost of a Data Breach Report 2023 - IBM
ransomware,-,693.3M,ataques,2022,Sonicwall,2023 SonicWall Cyber Threat Report
malware,-,5.5B,ataques,2022,Sonicwall,2023 SonicWall Cyber Threat Report
custo | brecha,pequenas e médias empresas,$4.2M,dólar,2021,IBM,https://www.ibm.com/security/data-breach